locatio	tow	mortalit	hardness
Sout	Bat	124	105
Nort	Birkenhea	166	17
Sout	Birmingha	146	5
Nort	Blackbur	180	14
Nort	Blackpoo	160	18
Nort	Bolto	155	10
Nort	Bootl	180	15
Sout	Bournemout	129	78
Nort	Bradfor	163	10
Sout	Brighto	135	84
Sout	Bristo	139	73
Nort	Burnle	175	12
Sout	Cardif	151	21
Sout	Coventr	130	78
Sout	Croydo	125	96
Nort	Darlingto	149	20
Nort	Derb	155	39
Nort	Doncaste	142	39
Sout	East Ha	131	122
Sout	Exete	126	21
Nort	Gateshea	172	44
Nort	Grimsb	137	94
Nort	Halifa	174	8
Nort	Huddersfiel	157	9
Nort	Hul	156	91
Sout	Ipswic	109	138
Nort	Leed	159	16
Sout	Leiceste	140	37
Nort	Liverpoo	177	15
Nort	Mancheste	182	8
Nort	Middlesbroug	170	26
Nort	Newcastl	170	44
Sout	Newpor	158	14
Sout	Northampto	130	59
Sout	Norwic	125	133
Nort	Nottingha	142	27
Nort	Oldha	172	6
Sout	Oxfor	117	107
Sout	Plymout	148	5
Sout	Portsmout	145	90
Nort	Presto	169	6
Sout	Readin	123	101
Nort	Rochdal	171	13
Nort	Rotherha	144	14
Nort	St Helen	159	49
Nort	Salfor	198	8
Nort	Sheffiel	149	14
Sout	Southampto	136	68
Sout	Southen	125	50
Nort	Southpor	158	75
Nort	South Shield	171	71
Nort	Stockpor	155	13
Nort	Stok	164	57
Nort	Sunderlan	170	71
Sout	Swanse	162	13
Nort	Wallase	162	20
Sout	Walsal	152	60
Sout	West Bromwic	162	53
Sout	West Ha	148	122
Sout	Wolverhampto	148	81
Nort	Yor	137	71
